"Name","GlobalID","BuildingLevel","TID","InfoTID","BuildingClass","SecondaryTargetingClass","ShopBuildingClass","SWF","ExportName","ExportNameNpc","ExportNameConstruction","ExportNameLocked","EarlyExportName","EarlyExportNameMaxTownHall","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","BuildResource","BuildCost","TownHallLevel","CapitalHallLevel","Width","Height","Icon","AreEdgesUnpassableByVillagers","ExportNameBuildAnim","ExportNameUpgradeAnim","AlternateExportName","AlternateUpgradeExportName","MaxStoredGold","MaxStoredElixir","MaxStoredDarkElixir","MaxStoredSourElixir","MaxStoredCommonOre","MaxStoredRareOre","MaxStoredEpicOre","MaxStoredWarGold","MaxStoredWarElixir","MaxStoredWarDarkElixir","MaxStoredGold2","MaxStoredElixir2","PercentageStoredGold","PercentageStoredElixir","PercentageStoredDarkElixir","LootOnDestruction","Bunker","Blacksmith","HeroTavern","ArmySlotType","HousingSpace","HousingSpaceAlt","HousingSpaceSiege","ProducesResource","ResourcePer100Hours","ResourceMax","ResourceIconLimit","UnitProduction","UpgradesUnitType","ProducesUnitsOfType","LevelRequirementTID","BoostCost","FreeBoost","Hitpoints","RegenTime","AttackRange","NormalModeTID","AlternateModeTID","AltAttackMode","AltAttackRange","PrepareSpeed","AttackSpeed","AltAttackSpeed","CoolDownOverride","AltCoolDownOverride","DPS","AltDPS","Damage","PreferredTarget","PreferredTargetDamageMod","RandomHitPosition","DestroyEffect","DestroyDamageEffect","AttackEffect","AttackEffect2","ChainShootingDistance","ChainAttackDistance","ChainAttackDepth","ChainAttackFactor","ChainAttackDelay","ChainAttackDamageReductionPercent","AttackEffectAlt","HitEffect","Projectile","AltProjectile","ExportNameDamagedSWF","ExportNameDamaged","BuildingW","BuildingH","BaseGfx","ExportNameBase","AirTargets","GroundTargets","MultiTargets","NumMultiTargets","MultiHitsTarget","AltAirTargets","AltGroundTargets","AltMultiTargets","AmmoCount","AmmoResource","AmmoCost","MinAttackRange","DamageRadius","Pushback","PushbackTime","PushbackHousingLimit","WallCornerPieces","LoadAmmoEffect","NoAmmoEffect","ToggleAttackModeEffect","PickUpEffect","PlacingEffect","AnimateTurret","DefenderCharacter","DefenderCount","DefenderZ","AltDefenderZ","DestructionXP","Locked","StartingHomeCount","Hidden","AOESpell","AOESpellAlternate","TriggerRadius","ExportNameTriggered","AppearEffect","ForgesSpells","ForgesMiniSpells","HousesGuardians","IsHeroBarrack","HeroType","IncreasingDamage","DPSLv2","DPSLv3","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","TransitionEffectLv2","TransitionEffectLv3","AltNumMultiTargets","PreventsHealing","StrengthWeight","AlternatePickNewTargetDelay","AltBuildResource","SpeedMod","StatusEffectTime","ShockwavePushStrength","ShockwaveArcLength","ShockwaveExpandRadius","TargetingConeAngle","AimRotateStep","PenetratingProjectile","PenetratingRadius","PenetratingExtraRange","TurnSpeed","NeedsAim","TargetGroups","TargetGroupsRadius","HitSpell","HitSpellLevel","ExportNameBeamStart","ExportNameBeamEnd","Damage2","Damage2Radius","Damage2Delay","Damage2Min","Damage2FalloffStart","Damage2FalloffEnd","HitEffect2","WakeUpSpeed","WakeUpSpace","PreAttackEffect","ShareHeroCombatData","BurstCount","BurstDelay","AltBurstCount","AltBurstDelay","DummyProjectileCount","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","IsRed","VillageType","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","DefenceTroopCount","DefenceTroopCharacter","DefenceTroopDynamic","DefenceTroopCharacter2","DefenceTroopLevel","AmountCanBeUpgraded","SelfAsAoeCenter","NewTargetAttackDelay","GearUpBuilding","GearUpLevelRequirement","GearUpResource","GearUpCost","GearUpTime","GearUpTID","StartUpgradeBoosterCostDivisor","ActivateCombatOnDamageTaken","ActivateAfterSeconds","ActivatedCombatAddBuildingClass","CombatActivationDelay","CombatActivationEffect","Weapon","HintPriority","UpgradeTasks","UpgradeTasksRequired","AnimationActionFrame","RandomizeTarget","SpellOnNearbyDamage","DamagePermilHp","ProjectileVariantByTargetMaxHP","DefaultProjectileVariant","PreviewScenario","PreviewScenarioUpgradePreview","PreviewScenarioUpgrading","AltPreviewScenario","CustomTargetHitBuildingInRange","UnlockWeaponMode","Stage","SecondaryTroop","SecondaryTroopCnt","SecondaryTroopLvl","SecondaryTroopAttacker","SpawnTimer","SpawnOnAttack","SummonTroopCount","HealthRecoveryPercent","MergeRequirement","ProjectileBounces","UseCustomCornerPiecesInEnds","UseCustomCornerPiecesInTurns","UseCustomCornerPiecesInTJunctions","DieSpellAttacker","MiniLevels","StatBars","RetargetAfterHit","AltModeStatBars","SpecialAbilities","SpecialAbilitiesLevel","SeasonalDefense","Animation","UseBattleIdleAnimation","Building3D","TargetingImmunitySiegeMachines","TargetingImmunityHeroes","TargetingImmunityOtherCharacters","TargetingImmunityTH_CC","TargetingImmunityStorages","TargetingImmunityWalls","TargetingImmunityOtherBuildings","TargetingImmunityTotems"
,,10,,,,,,,"town_hall_lvl10",,,,,,3,0,0,0,,3500000,9,,,,,,,,,,1500000,1500000,20000,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,5500,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4l_base_rockwoodpanel_grey",,,,"townhall_lvl10_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,"town_hall_lvl11",,,,,,5,0,0,0,,4000000,10,,,,,,,,,,2000000,2000000,20000,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,6800,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4l_base_rockwoodpanel_white",,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,"town_hall_lvl12_t5",,,,,,6,0,0,0,,6000000,11,,,,,,,,,,2000000,2000000,20000,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,7500,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4l_base_rockwoodpanel_blue",,,,"townhall_base_th12",,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,500,,"Townhall12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,,,,,,,"town_hall_lvl13_t5",,,,,,7,0,0,0,,9000000,12,,,,,,,,,,2000000,2000000,20000,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,8200,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4l_base_rockwoodpanel_blue",,,,"townhall_base_th12",,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,500,,"Townhall13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,,,,,,,"town_hall_lvl14_t5",,,,,,7,12,0,0,,12000000,13,,,,,,,,,,3000000,3000000,30000,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,8900,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4m_base_rockwoodpanel_yellow",,,,"townhall_base_th12",,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,500,,"Townhall14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,,,,,,,"town_hall_lvl15_t5",,,,,,8,0,0,0,,13000000,14,,,,,,,,,,3000000,3000000,30000,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,9600,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4l_base_rockwoodpanel_darkpurple",,,,"townhall_base_th12",,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,500,,"Townhall15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,,,,,,,"town_hall_lvl16",,,,,,9,0,0,0,,15000000,15,,,,,,,,,,4000000,4000000,40000,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,10000,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DestroyedBuilding_4l_base_rockwoodpanel_orange",,,,"townhall_base_th12",,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,500,,"Townhall16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,,,,,,,"town_hall_lvl17_t1",,,,,,10,0,0,0,,16000000,16,,,,,,,,,,4000000,4000000,40000,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,10400,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DestroyedBuilding_4l_base_rockwoodpanel_darkblue",,,,"townhall_base_th12",,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,500,,"Townhall17",,,,,,,,,,,,,,,,,,,,,,,,,"Eagle Artillery:7:0",,,,,,,,,,,,,"TownHall17",,,,,,,,,,
,,18,,,,,,,"town_hall_lvl18_t1",,,,,,12,0,0,0,,25000000,17,,,,,"TRUE",,,,,5000000,5000000,50000,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,10800,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DestroyedBuilding_4l_base_rockwoodpanel_darkblue",,,,"town_hall_lvl18_t1_base",,,,,,,,,,,,,,,,,,,,,,,,,,190,,18,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TownHall18Fake","TownHall17Upgrading",,,,,,,,,,,,,,,,,,,,,,,,,,"TownHall18",,,,,,,,,,
"Clan Castle",1000014,1,"TID_BUILDING_ALLIANCE_CASTLE","TID_ALLIANCE_CASTLE_INFO","Army","Resource",,"sc/buildings.sc","alliance_castle_lvl1",,"generic_construction_state3","alliance_castle_lvl1_broken",,,0,0,0,0,"Elixir",10000,3,3,3,3,,,"alliance_castle_upg",,,,,,,,,,,75000,75000,500,,,,,,"TRUE","TRUE",,,,10,0,0,,,,,,,,,,,600,27,,,,,,,,,,,,,,,,,"Building Destroyed",,,,,,,,,,,,,,,"alliance_castle_lvl1_broken",2,2,,"alliance_castle_base",,,,,,,,,,,,,,,,,,,,,"Alliance Castle Pickup","Alliance Castle Placing",,,,,,,"TRUE",1,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,,,,,,,"ClanCastle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,"alliance_castle_lvl2",,,,,,0,2,0,0,,50000,4,4,,,,,,,,,,,,,,,,250000,250000,1000,,,,,,,,,,,15,0,0,,,,,,,,,,,1200,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,"alliance_castle_lvl3",,,,,,0,12,0,0,,600000,6,6,,,,,,,,,,,,,,,,700000,700000,2500,,,,,,,,,,,20,0,0,,,,,,,,,,,1800,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ClanCastleTH7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,"alliance_castle_lvl4",,,,,,1,0,0,0,,1200000,8,8,,,,,,,,,,,,,,,,1000000,1000000,4000,,,,,,,,,,,25,1,0,,,,,,,,,,,2600,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,"alliance_castle_lvl5",,,,,,1,12,0,0,,2000000,9,9,,,,,,,,,,,,,,,,1600000,1600000,8000,,,,,,,,,,,30,1,0,,,,,,,,,,,3000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
